Section,Subsection,Content,URLs,Image Title,Image URL
Title,,,,,Quantum computing
Contents,,,,,
History,,,,,
Quantum information processing,,,,,
Quantum information processing,Quantum information,,,,
Quantum information processing,Unitary operators,,,,
Quantum information processing,Quantum parallelism,,,,
Quantum information processing,Quantum programming,,,,
Quantum information processing,Gate array,,,,
Quantum information processing,Measurement-based quantum computing,,,,
Quantum information processing,Adiabatic quantum computing,,,,
Quantum information processing,Neuromorphic quantum computing,,,,
Quantum information processing,Topological quantum computing,,,,
Quantum information processing,Quantum Turing machine,,,,
Quantum information processing,Quantum cryptography and cybersecurity,,,,
Communication,,,,,
Algorithms,,,,,
Algorithms,Simulation of quantum systems,,,,
Algorithms,Post-quantum cryptography,,,,
Algorithms,Search problems,,,,
Algorithms,Quantum annealing,,,,
Algorithms,Machine learning,,,,
Engineering,,,,,
Engineering,Challenges,,,,
Engineering,Decoherence,,,,
Engineering,Quantum supremacy,,,,
Engineering,Skepticism,,,,
Engineering,Physical realizations,,,,
Theory,,,,,
Theory,Computability,,,,
Theory,Complexity,,,,
See also,,,,,
Notes,,,,,
References,,,,,
Sources,,,,,
Further reading,,,,,
Further reading,Textbooks,,,,
Further reading,Academic papers,,,,
External links,,,,,
External links,Languages,,,,
External links,Languages,Home,,,
External links,Languages,Random,,,
External links,Languages,Nearby,,,
External links,Languages,Log in,,,
External links,Languages,Settings,,,
External links,Languages,Donate,,,
External links,Languages,About Wikipedia,,,
External links,Languages,Disclaimers,,,
External links,Languages,Article,,,
External links,Languages,Talk,,,
External links,Languages,Language,,,
External links,Languages,Watch,,,
External links,Languages,Edit,,,
External links,Languages,,,,
External links,Languages,"A quantum computer is a computer that exploits quantum mechanical phenomena. On small scales, physical matter exhibits properties of both particles and waves, and quantum computing leverages this behavior using specialized hardware. Classical physics cannot explain the operation of these quantum devices, and a scalable quantum computer could perform some calculations exponentially faster[a] than any modern ""classical"" computer. In particular, a large-scale quantum computer could break widely used encryption schemes and aid physicists in performing physical simulations; however, the current state of the art is largely experimental and impractical, with several obstacles to useful applications.",,,
External links,Languages,"The basic unit of information in quantum computing, the qubit (or ""quantum bit""), serves the same function as the bit in classical computing. However, unlike a classical bit, which can be in one of two states (a binary), a qubit can exist in a superposition of its two ""basis"" states, which loosely means that it is in both states simultaneously. When measuring a qubit, the result is a probabilistic output of a classical bit. If a quantum computer manipulates the qubit in a particular way, wave interference effects can amplify the desired measurement results. The design of quantum algorithms involves creating procedures that allow a quantum computer to perform calculations efficiently and quickly.",,,
External links,Languages,"Physically engineering high-quality qubits has proven challenging. If a physical qubit is not sufficiently isolated from its environment, it suffers from quantum decoherence, introducing noise into calculations. National governments have invested heavily in experimental research that aims to develop scalable qubits with longer coherence times and lower error rates. Example implementations include superconductors (which isolate an electrical current by eliminating electrical resistance) and ion traps (which confine a single atomic particle using electromagnetic fields).",,,
External links,Languages,"In principle, a classical computer can solve the same computational problems as a quantum computer, given enough time. Quantum advantage comes in the form of time complexity rather than computability, and quantum complexity theory shows that some quantum algorithms are exponentially more efficient than the best known classical algorithms. A large-scale quantum computer could in theory solve computational problems unsolvable by a classical computer in any reasonable amount of time. While claims of such quantum supremacy have drawn significant attention to the discipline, near-term practical use cases remain limited.",,,
External links,Languages,1 History,,,
External links,Languages,2 Quantum information processing 2.1 Quantum information 2.2 Unitary operators 2.3 Quantum parallelism 2.4 Quantum programming 2.4.1 Gate array 2.4.2 Measurement-based quantum computing 2.4.3 Adiabatic quantum computing 2.4.4 Neuromorphic quantum computing 2.4.5 Topological quantum computing 2.4.6 Quantum Turing machine 2.5 Quantum cryptography and cybersecurity,,,
External links,Languages,2.1 Quantum information,,,
External links,Languages,2.2 Unitary operators,,,
External links,Languages,2.3 Quantum parallelism,,,
External links,Languages,2.4 Quantum programming 2.4.1 Gate array 2.4.2 Measurement-based quantum computing 2.4.3 Adiabatic quantum computing 2.4.4 Neuromorphic quantum computing 2.4.5 Topological quantum computing 2.4.6 Quantum Turing machine,,,
External links,Languages,2.4.1 Gate array,,,
External links,Languages,2.4.2 Measurement-based quantum computing,,,
External links,Languages,2.4.3 Adiabatic quantum computing,,,
External links,Languages,2.4.4 Neuromorphic quantum computing,,,
External links,Languages,2.4.5 Topological quantum computing,,,
External links,Languages,2.4.6 Quantum Turing machine,,,
External links,Languages,2.5 Quantum cryptography and cybersecurity,,,
External links,Languages,3 Communication,,,
External links,Languages,4 Algorithms 4.1 Simulation of quantum systems 4.2 Post-quantum cryptography 4.3 Search problems 4.4 Quantum annealing 4.5 Machine learning,,,
External links,Languages,4.1 Simulation of quantum systems,,,
External links,Languages,4.2 Post-quantum cryptography,,,
External links,Languages,4.3 Search problems,,,
External links,Languages,4.4 Quantum annealing,,,
External links,Languages,4.5 Machine learning,,,
External links,Languages,5 Engineering 5.1 Challenges 5.1.1 Decoherence 5.2 Quantum supremacy 5.3 Skepticism 5.4 Physical realizations,,,
External links,Languages,5.1 Challenges 5.1.1 Decoherence,,,
External links,Languages,5.1.1 Decoherence,,,
External links,Languages,5.2 Quantum supremacy,,,
External links,Languages,5.3 Skepticism,,,
External links,Languages,5.4 Physical realizations,,,
External links,Languages,6 Theory 6.1 Computability 6.2 Complexity,,,
External links,Languages,6.1 Computability,,,
External links,Languages,6.2 Complexity,,,
External links,Languages,7 See also,,,
External links,Languages,8 Notes,,,
External links,Languages,9 References,,,
External links,Languages,10 Sources,,,
External links,Languages,11 Further reading 11.1 Textbooks 11.2 Academic papers,,,
External links,Languages,11.1 Textbooks,,,
External links,Languages,11.2 Academic papers,,,
External links,Languages,12 External links,,,
External links,Languages,"For many years, the fields of quantum mechanics and computer science formed distinct academic communities.[2] Modern quantum theory developed in the 1920s to explain the wave–particle duality observed at atomic scales,[3] and digital computers emerged in the following decades to replace human computers for tedious calculations.[4] Both disciplines had practical applications during World War II; computers played a major role in wartime cryptography,[5] and quantum physics was essential for the nuclear physics used in the Manhattan Project.[6]",,,
External links,Languages,"As physicists applied quantum mechanical models to computational problems and swapped digital bits for qubits, the fields of quantum mechanics and computer science began to converge. In 1980, Paul Benioff introduced the quantum Turing machine, which uses quantum theory to describe a simplified computer.[7] When digital computers became faster, physicists faced an exponential increase in overhead when simulating quantum dynamics,[8] prompting Yuri Manin and Richard Feynman to independently suggest that hardware based on quantum phenomena might be more efficient for computer simulation.[9][10][11] In a 1984 paper, Charles Bennett and Gilles Brassard applied quantum theory to cryptography protocols and demonstrated that quantum key distribution could enhance information security.[12][13]",,,
External links,Languages,"Quantum algorithms then emerged for solving oracle problems, such as Deutsch's algorithm in 1985,[14] the Bernstein–Vazirani algorithm in 1993,[15] and Simon's algorithm in 1994.[16] These algorithms did not solve practical problems, but demonstrated mathematically that one could gain more information by querying a black box with a quantum state in superposition, sometimes referred to as quantum parallelism.[17]",,,
External links,Languages,"Peter Shor built on these results with his 1994 algorithm for breaking the widely used RSA and Diffie–Hellman encryption protocols,[18] which drew significant attention to the field of quantum computing.[19] In 1996, Grover's algorithm established a quantum speedup for the widely applicable unstructured search problem.[20][21] The same year, Seth Lloyd proved that quantum computers could simulate quantum systems without the exponential overhead present in classical simulations,[22] validating Feynman's 1982 conjecture.[23]",,,
External links,Languages,"Over the years, experimentalists have constructed small-scale quantum computers using trapped ions and superconductors.[24] In 1998, a two-qubit quantum computer demonstrated the feasibility of the technology,[25][26] and subsequent experiments have increased the number of qubits and reduced error rates.[24]",,,
External links,Languages,"In 2019, Google AI and NASA announced that they had achieved quantum supremacy with a 54-qubit machine, performing a computation that is impossible for any classical computer.[27][28][29] However, the validity of this claim is still being actively researched.[30][31]",,,
External links,Languages,"The threshold theorem shows how increasing the number of qubits can mitigate errors,[32] yet fully fault-tolerant quantum computing remains ""a rather distant dream"".[33] According to some researchers, noisy intermediate-scale quantum (NISQ) machines may have specialized uses in the near future, but noise in quantum gates limits their reliability.[33]",,,
External links,Languages,"Investment in quantum computing research has increased in the public and private sectors.[34][35] As one consulting firm summarized,[36]",,,
External links,Languages,"... investment dollars are pouring in, and quantum-computing start-ups are proliferating. ... While quantum computing promises to help businesses solve problems that are beyond the reach and speed of conventional high-performance computers, use cases are largely experimental and hypothetical at this early stage.",,,
External links,Languages,"With focus on business management’s point of view, the potential applications of quantum computing into four major categories are cybersecurity, data analytics and artificial intelligence, optimization and simulation, and data management and searching.[37]",,,
External links,Languages,"In December 2023, physicists, for the first time, reported the entanglement of individual molecules, which may have significant applications in quantum computing.[38] Also in December 2023, scientists at Harvard University successfully created ""quantum circuits"" that correct errors more efficiently than alternative methods, which may potentially remove a major obstacle to practical quantum computers.[39][40] The Harvard research team was supported by MIT, QuEra Computing, Caltech, and Princeton University and funded by DARPA's Optimization with Noisy Intermediate-Scale Quantum devices (ONISQ) program.[41][42] Research efforts are ongoing to jumpstart quantum computing through topological and photonic approaches as well.[43]",,,
External links,Languages,"In July 2024, quantum computing company Quantinuum announced that their new 56-qubit H2-1 computer has broken a world record in ""quantum supremacy,"" topping the performance of benchmarking set by Google's Sycamore machine by 100-fold and consumes 30,000 times less power.[44]",,,
External links,Languages,"Computer engineers typically describe a modern computer's operation in terms of classical electrodynamics. Within these ""classical"" computers, some components (such as semiconductors and random number generators) may rely on quantum behavior, but these components are not isolated from their environment, so any quantum information quickly decoheres. While programmers may depend on probability theory when designing a randomized algorithm, quantum mechanical notions like superposition and interference are largely irrelevant for program analysis.",,,
External links,Languages,"Quantum programs, in contrast, rely on precise control of coherent quantum systems. Physicists describe these systems mathematically using linear algebra. Complex numbers model probability amplitudes, vectors model quantum states, and matrices model the operations that can be performed on these states. Programming a quantum computer is then a matter of composing operations in such a way that the resulting program computes a useful result in theory and is implementable in practice.",,,
External links,Languages,"As physicist Charlie Bennett describes the relationship between quantum and classical computers,[45]",,,
External links,Languages,"A classical computer is a quantum computer ... so we shouldn't be asking about ""where do quantum speedups come from?"" We should say, ""well, all computers are quantum. ... Where do classical slowdowns come from?""",,,
External links,Languages,"Just as the bit is the basic concept of classical information theory, the qubit is the fundamental unit of quantum information. The same term qubit is used to refer to an abstract mathematical model and to any physical system that is represented by that model. A classical bit, by definition, exists in either of two physical states, which can be denoted 0 and 1. A qubit is also described by a state, and two states often written {\displaystyle {\displaystyle {\displaystyle {\displaystyle {\displaystyle {\displaystyle",,,
External links,Languages,"A two-dimensional vector mathematically represents a qubit state. Physicists typically use Dirac notation for quantum mechanical linear algebra, writing {\displaystyle {\displaystyle \alpha |0\rangle +\beta {\displaystyle {\displaystyle",,,
External links,Languages,"When a qubit is measured in the standard basis, the result is a classical bit. The Born rule describes the norm-squared correspondence between amplitudes and probabilities—when measuring a qubit α {\displaystyle \alpha |0\rangle +\beta {\displaystyle {\displaystyle |\alpha {\displaystyle {\displaystyle |\beta {\displaystyle |\alpha |^{2}+|\beta {\displaystyle 1/{\sqrt {2}}|0\rangle +1/{\sqrt {2}}{\displaystyle {\displaystyle",,,
External links,Languages,"Each additional qubit doubles the dimension of the state space.[48] As an example, the vector ⁠1/√2⁠|00⟩ + ⁠1/√2⁠|01⟩ represents a two-qubit state, a tensor product of the qubit |0⟩ with the qubit ⁠1/√2⁠|0⟩ + ⁠1/√2⁠This vector inhabits a four-dimensional vector space spanned by the basis vectors |00⟩, |01⟩, |10⟩, and The Bell state ⁠1/√2⁠|00⟩ + ⁠1/√2⁠",,,
